id	taxon	long	lat	abundance
6	Harpyhaliaetus coronatus	-59.595999999999900	-18.317000000000000	1
7	Harpyhaliaetus coronatus	-59.567000000000000	-18.100000000000000	1
8	Harpyhaliaetus coronatus	-60.895736999999900	-26.046581000000000	1
11	Harpyhaliaetus coronatus	-65.758853999999900	-11.344075000000000	1
12	Harpyhaliaetus coronatus	-65.711427000000000	-11.240527000000000	1
13	Harpyhaliaetus coronatus	-61.097216000000000	-31.870597000000000	1
14	Harpyhaliaetus coronatus	-63.261499999999900	-25.621700000000000	1
15	Harpyhaliaetus coronatus	-64.666100000000000	-30.827200000000000	1
16	Harpyhaliaetus coronatus	-65.922300000000000	-32.396799999999900	1
22	Harpyhaliaetus coronatus	-43.009599999999900	-16.861999999999900	1
24	Harpyhaliaetus coronatus	-66.402000000000000	-33.153900000000000	1
34	Harpyhaliaetus coronatus	-50.365900000000000	-29.095199999999900	1
36	Harpyhaliaetus coronatus	-65.764779000000000	-11.162553000000000	1
44	Harpyhaliaetus coronatus	-65.600842000000000	-11.311544000000000	1
45	Harpyhaliaetus coronatus	-65.783158000000000	-11.322206000000000	1
46	Harpyhaliaetus coronatus	-56.844999999999900	-14.931100000000000	1
47	Harpyhaliaetus coronatus	-65.479799999999900	-31.376000000000000	1
50	Harpyhaliaetus coronatus	-43.900599999999900	-22.637300000000000	1
54	Harpyhaliaetus coronatus	-45.677700000000000	-22.312799999999900	1
57	Harpyhaliaetus coronatus	-64.383200000000000	-32.159199999999900	1
60	Harpyhaliaetus coronatus	-62.094700000000000	-39.697499999999900	1
65	Harpyhaliaetus coronatus	-58.691499999999900	-25.868300000000000	1
68	Harpyhaliaetus coronatus	-45.401899999999900	-22.726199999999900	1
70	Harpyhaliaetus coronatus	-45.520299999999900	-22.838500000000000	1
76	Harpyhaliaetus coronatus	-56.174999999999900	-27.528300000000000	1
77	Harpyhaliaetus coronatus	-44.756799999999900	-22.373500000000000	1
79	Harpyhaliaetus coronatus	-66.319299999999900	-36.334899999999900	1
83	Harpyhaliaetus coronatus	-46.476300000000000	-20.218299999999900	1
84	Harpyhaliaetus coronatus	-65.168800000000000	-32.167400000000000	1
86	Harpyhaliaetus coronatus	-44.490400000000000	-22.951000000000000	1
88	Harpyhaliaetus coronatus	-61.114100000000000	-30.615800000000000	1
89	Harpyhaliaetus coronatus	-56.867100000000000	-15.029700000000000	1
90	Harpyhaliaetus coronatus	-42.508400000000000	-22.056400000000000	1
91	Harpyhaliaetus coronatus	-49.719700000000000	-24.261299999999900	1
96	Harpyhaliaetus coronatus	-55.779899999999900	-15.425599999999900	1
98	Harpyhaliaetus coronatus	-65.024500000000000	-32.090699999999900	1
103	Harpyhaliaetus coronatus	-46.191400000000000	-20.381599999999900	1
104	Harpyhaliaetus coronatus	-47.261200000000000	-13.875000000000000	1
106	Harpyhaliaetus coronatus	-44.970700000000000	-21.871600000000000	1
107	Harpyhaliaetus coronatus	-50.393599999999900	-29.431999999999900	1
111	Harpyhaliaetus coronatus	-65.483800000000000	-31.149699999999900	1
115	Harpyhaliaetus coronatus	-44.610999999999900	-22.444900000000000	1
116	Harpyhaliaetus coronatus	-47.035800000000000	-20.017099999999900	1
124	Harpyhaliaetus coronatus	-43.444752999999900	-20.289702999999900	1
128	Harpyhaliaetus coronatus	-60.034999999999900	-22.398499999999900	1
129	Harpyhaliaetus coronatus	-65.179800000000000	-35.381300000000000	1
133	Harpyhaliaetus coronatus	-66.633300000000000	-33.666699999999900	1
135	Harpyhaliaetus coronatus	-64.951300000000000	-31.880099999999900	1
136	Harpyhaliaetus coronatus	-46.812800000000000	-19.007600000000000	1
141	Harpyhaliaetus coronatus	-68.113100000000000	-30.190300000000000	1
145	Harpyhaliaetus coronatus	-65.167199999999900	-31.796900000000000	1
155	Harpyhaliaetus coronatus	-62.090299999999900	-28.081900000000000	1
156	Harpyhaliaetus coronatus	-44.196399999999900	-20.141600000000000	1
159	Harpyhaliaetus coronatus	-57.428400000000000	-28.689599999999900	1
162	Harpyhaliaetus coronatus	-54.136499999999900	-17.200299999999900	1
164	Harpyhaliaetus coronatus	-45.641599999999900	-23.091300000000000	1
165	Harpyhaliaetus coronatus	-45.629399999999900	-23.079200000000000	1
167	Harpyhaliaetus coronatus	-46.406500000000000	-20.260100000000000	1
175	Harpyhaliaetus coronatus	-60.885399999999900	-22.617999999999900	1
180	Harpyhaliaetus coronatus	-66.263599999999900	-36.695599999999900	1
183	Harpyhaliaetus coronatus	-44.468699999999900	-22.481600000000000	1
188	Harpyhaliaetus coronatus	-51.146099999999900	-23.936199999999900	1
190	Harpyhaliaetus coronatus	-68.027600000000000	-33.771299999999900	1
195	Harpyhaliaetus coronatus	-43.522945000000000	-20.297509000000000	1
196	Harpyhaliaetus coronatus	-65.685699999999900	-32.247799999999900	1
201	Harpyhaliaetus coronatus	-64.642099999999900	-27.011399999999900	1
208	Harpyhaliaetus coronatus	-45.649099999999900	-23.119399999999900	1
213	Harpyhaliaetus coronatus	-50.580199999999900	-29.442799999999900	1
221	Harpyhaliaetus coronatus	-49.852899999999900	-28.004300000000000	1
228	Harpyhaliaetus coronatus	-46.414299999999900	-20.326599999999900	1
232	Harpyhaliaetus coronatus	-56.713000000000000	-20.535799999999900	1
238	Harpyhaliaetus coronatus	-56.775100000000000	-17.364500000000000	1
239	Harpyhaliaetus coronatus	-44.960000000000000	-23.089300000000000	1
248	Harpyhaliaetus coronatus	-53.290500000000000	-19.300999999999900	1
250	Harpyhaliaetus coronatus	-57.632700000000000	-25.276000000000000	1
255	Harpyhaliaetus coronatus	-45.082999999999900	-23.425799999999900	1
256	Harpyhaliaetus coronatus	-65.828800000000000	-27.849000000000000	1
260	Harpyhaliaetus coronatus	-65.169803000000000	-32.130580000000000	1
261	Harpyhaliaetus coronatus	-66.110772999999900	-32.382747000000000	1
264	Harpyhaliaetus coronatus	-64.780677999999900	-35.016150000000000	1
268	Harpyhaliaetus coronatus	-65.752600000000000	-11.064700000000000	1
278	Harpyhaliaetus coronatus	-50.816699999999900	-28.884799999999900	1
280	Harpyhaliaetus coronatus	-64.504800000000000	-31.587100000000000	1
285	Harpyhaliaetus coronatus	-57.377699999999900	-22.709499999999900	1
288	Harpyhaliaetus coronatus	-65.304938000000000	-35.567498999999900	1
291	Harpyhaliaetus coronatus	-65.999899999999900	-13.779199999999900	1
294	Harpyhaliaetus coronatus	-47.795699999999900	-22.324800000000000	1
298	Harpyhaliaetus coronatus	-44.593000000000000	-22.664300000000000	1
304	Harpyhaliaetus coronatus	-43.634900000000000	-22.488299999999900	1
306	Harpyhaliaetus coronatus	-46.417900000000000	-20.326400000000000	1
307	Harpyhaliaetus coronatus	-50.366199999999900	-29.054800000000000	1
308	Harpyhaliaetus coronatus	-60.996884000000000	-30.435434000000000	1
309	Harpyhaliaetus coronatus	-42.517400000000000	-22.055199999999900	1
312	Harpyhaliaetus coronatus	-42.486899999999900	-22.089600000000000	1
315	Harpyhaliaetus coronatus	-61.088799999999900	-28.766999999999900	1
317	Harpyhaliaetus coronatus	-44.968200000000000	-21.331099999999900	1
318	Harpyhaliaetus coronatus	-63.229100000000000	-24.056100000000000	1
322	Harpyhaliaetus coronatus	-64.515000000000000	-32.071700000000000	1
323	Harpyhaliaetus coronatus	-64.467634000000000	-32.065818000000000	1
327	Harpyhaliaetus coronatus	-44.763900000000000	-23.216000000000000	1
329	Harpyhaliaetus coronatus	-43.341900000000000	-20.793700000000000	1
